Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
Ethereum,ETH,28-01-2020,176.3703205,170.7380646,170.8848629,176.3703205,11772875064,19307396128
Ethereum,ETH,29-01-2020,178.8429686,175.0503379,176.3478876,175.0503379,10725267311,19165292202
Ethereum,ETH,30-01-2020,186.2604898,172.3746339,174.917705,184.6904764,12604789338,20223232964
Ethereum,ETH,31-01-2020,185.4058424,176.296817,184.7369022,180.1601752,11728616394,19729633078
Ethereum,ETH,01-02-2020,183.8455551,179.7451853,180.1137709,183.6739471,11569697182,20116913728
Ethereum,ETH,02-02-2020,193.0803969,180.173944,183.5325058,188.6175382,14054425389,20660936267
Ethereum,ETH,03-02-2020,193.4368889,188.0126889,188.6074135,189.8650632,12392875241,20800183238
Ethereum,ETH,04-02-2020,191.1114894,185.4036239,189.8617277,189.2506024,11714191695,20735478720
Ethereum,ETH,05-02-2020,206.8040012,188.7526882,189.2991016,204.2302447,14865434435,22379510312
Ethereum,ETH,06-02-2020,214.5977097,201.9040725,204.1296954,212.3390797,16425589683,23270983772
Ethereum,ETH,07-02-2020,223.1409303,212.3042014,212.3158888,222.7260663,16673443564,24412375482
Ethereum,ETH,08-02-2020,226.5880934,215.3862902,222.5109652,223.1465217,16741203125,24461492839
Ethereum,ETH,09-02-2020,229.8642469,222.9822349,222.9822349,228.57857,15031356241,25060056859
Ethereum,ETH,10-02-2020,229.1846088,218.0800521,228.5491292,223.5226996,16210008511,24508831903
Ethereum,ETH,11-02-2020,236.5471278,218.6176145,223.384938,235.8511995,16964695963,25863852653
Ethereum,ETH,12-02-2020,272.3988401,235.8962752,235.8982178,265.4061261,24545049386,29108513969
Ethereum,ETH,13-02-2020,273.7410568,258.9225061,265.0526899,268.099256,25801317504,29407537084
Ethereum,ETH,14-02-2020,285.0564203,262.7625123,268.023277,284.2175096,23558253463,31179427623
Ethereum,ETH,15-02-2020,287.1236968,264.279672,284.5613032,264.7285853,23682452994,29045044403
Ethereum,ETH,16-02-2020,272.8824339,242.4844123,264.9040492,259.8947035,25152366643,28518254585
Ethereum,ETH,17-02-2020,266.8712409,244.3353231,259.8905521,266.3634463,26024080089,29231690264
Ethereum,ETH,18-02-2020,283.1961451,261.4638861,266.5088062,281.9445791,26511477187,30945457816
Ethereum,ETH,19-02-2020,283.5379342,259.7639627,282.0362832,259.7639627,22679414413,28514562065
Ethereum,ETH,20-02-2020,263.695401,250.9512618,259.8198643,257.949455,23229828870,28318879771
Ethereum,ETH,21-02-2020,267.004846,255.6890934,257.8911246,265.6006125,20867593292,29162464509
Ethereum,ETH,22-02-2020,266.3871919,258.9131352,265.5515726,262.331721,16906032862,28807130266
Ethereum,ETH,23-02-2020,273.754156,261.9605093,262.2783985,273.754156,19585998814,30065188433
Ethereum,ETH,24-02-2020,275.5395147,259.6251673,273.705093,265.2164173,22400845640,29131114037
Ethereum,ETH,25-02-2020,265.4314748,246.8589983,265.2833874,247.8175923,21878882134,27223398195
Ethereum,ETH,26-02-2020,249.6497045,221.2665553,247.7402039,225.6802655,26235617201,24794645345
Ethereum,ETH,27-02-2020,237.2289212,212.6645202,225.6870436,226.7533953,25645522790,24915636231
Ethereum,ETH,28-02-2020,234.208941,216.3462025,226.9876083,226.7605015,22563530559,24919509265
Ethereum,ETH,29-02-2020,232.2566291,219.8485126,226.8334444,219.8485126,18181296376,24162913195
Ethereum,ETH,01-03-2020,226.6778797,214.1304382,219.7526778,218.9705999,18179807469,24069393932
Ethereum,ETH,02-03-2020,232.8115803,217.284287,218.7116244,230.5697818,20305587789,25347534007
Ethereum,ETH,03-03-2020,232.3258076,221.7326609,230.5239642,224.4796223,19853178572,24681090483
Ethereum,ETH,04-03-2020,228.0404212,222.0888815,224.5653445,224.5179764,16567075208,24688386921
Ethereum,ETH,05-03-2020,234.3644625,224.6418879,224.6418879,229.2681889,18201291785,25213804821
Ethereum,ETH,06-03-2020,243.5549742,228.7435821,229.1684273,243.5252997,19374772256,26785082139
Ethereum,ETH,07-03-2020,249.9784915,237.5512887,243.7501927,237.853095,19431652027,26164459704
Ethereum,ETH,08-03-2020,237.7806928,200.6029894,237.7806928,200.6890523,21381823651,22079071207
Ethereum,ETH,09-03-2020,207.4514004,192.2698991,201.3184948,201.9863271,23645428606,22224520906
Ethereum,ETH,10-03-2020,205.7142516,198.0644974,202.8639579,200.7672474,18344930072,22093126953
Ethereum,ETH,11-03-2020,202.9543041,184.3621575,200.7680297,194.8685285,16984790291,21446678546
Ethereum,ETH,12-03-2020,195.1479414,111.2107123,194.7389167,112.3471238,22134741655,12366138225
Ethereum,ETH,13-03-2020,137.4295362,95.18430052,112.6899948,133.2018072,27864623061,14663417618
Ethereum,ETH,14-03-2020,134.4843722,122.4144754,133.5824731,123.3060246,12740784545,13575727275
Ethereum,ETH,15-03-2020,132.2421474,121.8536526,123.2460663,125.2143043,12719251813,13787534423
Ethereum,ETH,16-03-2020,124.9961133,105.1714429,124.9961133,110.605876,15984904590,12180483053
Ethereum,ETH,17-03-2020,118.9882852,110.406785,110.406785,113.9427502,12087490572,12549513954
Ethereum,ETH,18-03-2020,116.021622,111.7431138,113.8576459,114.842273,11617854009,12650160818
Ethereum,ETH,19-03-2020,140.5277188,114.7328664,114.8398246,136.593858,16396753275,15048018840
Ethereum,ETH,20-03-2020,150.8538096,122.6056603,136.6492791,132.7371701,18960388062,14624949757
Ethereum,ETH,21-03-2020,135.9724158,127.1637571,133.1017658,132.8187078,13684083308,14635764102
Ethereum,ETH,22-03-2020,136.151645,122.9093364,132.8511424,123.3211477,12497707224,13590860527
Ethereum,ETH,23-03-2020,134.911612,121.8678838,123.3659811,134.911612,14149877968,14870079035
Ethereum,ETH,24-03-2020,141.9485326,133.1687761,135.1941337,138.761445,14609068673,15296295171
Ethereum,ETH,25-03-2020,141.4037865,134.3042318,138.9149673,136.1958929,13433092920,15015344150
Ethereum,ETH,26-03-2020,138.8305727,134.8860359,136.1906804,138.3615573,11367261176,15255985586
Ethereum,ETH,27-03-2020,139.9026971,133.9379402,138.3699316,133.9379402,11396286629,14770071750
Ethereum,ETH,28-03-2020,134.0327396,126.9621904,134.0327396,130.9864949,12162403960,14446379743
Ethereum,ETH,29-03-2020,131.1740804,125.4500536,131.0153372,125.5837304,9938133669,13852241607
Ethereum,ETH,30-03-2020,133.9114709,125.2896801,125.5778965,132.9045381,11841123306,14661550831
Ethereum,ETH,31-03-2020,134.2741356,131.6528916,132.8209224,133.5935651,11065246317,14739376438
Ethereum,ETH,01-04-2020,135.6345523,129.7309443,133.6123245,135.6345523,12456564435,14966424710
Ethereum,ETH,02-04-2020,146.7870924,135.7321729,135.7321729,142.0291476,15322861686,15673960169
Ethereum,ETH,03-04-2020,146.8998785,139.6193793,142.1104506,142.0913099,13184603402,15682757538
Ethereum,ETH,04-04-2020,145.3773066,140.1218293,142.2151844,145.2193846,11946658257,16029973618
Ethereum,ETH,05-04-2020,146.1285211,142.1020777,145.2610153,143.5466487,11280993591,15847283514
Ethereum,ETH,06-04-2020,169.2726486,143.5446068,143.6082095,169.1358846,21636382525,18674571701
Ethereum,ETH,07-04-2020,175.2041318,164.2033199,169.1474533,165.1019425,21659346091,18231455422
Ethereum,ETH,08-04-2020,173.2102705,164.493199,165.2403285,172.6417338,17063110836,19066388908
Ethereum,ETH,09-04-2020,172.8977847,167.9871147,172.7612678,170.8071475,14901696210,18866106818
Ethereum,ETH,10-04-2020,170.9497741,154.9144745,170.8292645,158.4124486,17980944616,17499250378
Ethereum,ETH,11-04-2020,161.1675733,155.2983424,158.5389847,158.2160237,13555089447,17479687023
Ethereum,ETH,12-04-2020,164.5169477,156.3205086,158.2323949,161.1424201,15123721386,17805206568
Ethereum,ETH,13-04-2020,160.7497008,151.6144912,160.7206657,156.2795491,16465282133,17270031992
Ethereum,ETH,14-04-2020,160.9442734,155.8659391,156.3559523,157.5963957,14723156630,17417697024
Ethereum,ETH,15-04-2020,160.7111265,152.802836,157.5656432,153.2868929,14171753737,16943501886
Ethereum,ETH,16-04-2020,173.1572756,150.3594246,153.2004176,172.1573828,22910469236,19031693317
Ethereum,ETH,17-04-2020,174.2759026,169.7515664,172.2794252,171.6385827,16714684266,18976660194
Ethereum,ETH,18-04-2020,187.9404731,171.6180749,171.6180749,186.9140058,20160323443,20668075857
Ethereum,ETH,19-04-2020,188.0989207,180.1208198,186.8619869,181.6149591,19146038381,20084614446
Ethereum,ETH,20-04-2020,186.0835432,170.3212715,181.4802299,172.2971576,21266681335,19056520718
Ethereum,ETH,21-04-2020,175.1784598,170.5528417,172.0177101,172.7377005,16458767984,19107591182
Ethereum,ETH,22-04-2020,183.751005,171.8265994,172.6703909,182.5995748,17994666395,20200984352
Ethereum,ETH,23-04-2020,189.0888651,180.3406516,182.620174,185.0286708,21275740032,20472236139
Ethereum,ETH,24-04-2020,190.2103882,185.2221033,185.2221033,189.2369419,16788555028,20940434737
Ethereum,ETH,25-04-2020,196.7923782,188.4595336,189.207402,195.5153007,18260969748,21637838417
Ethereum,ETH,26-04-2020,199.3449687,194.7680727,195.4135891,197.3175302,18335367012,21839976557
Ethereum,ETH,27-04-2020,199.5527981,193.454161,197.4757162,197.2247212,18670194595,21832392036
Ethereum,ETH,28-04-2020,198.7865518,194.8494257,197.2735118,198.415383,18217507467,21966890357
Ethereum,ETH,29-04-2020,218.4546308,198.1245078,198.4651918,216.9682239,26397548759,24023887081
Ethereum,ETH,30-04-2020,227.5296899,206.4369244,216.9091338,207.6020559,28089191904,22989647065
Ethereum,ETH,01-05-2020,217.6280199,207.7808868,207.9017311,214.2191064,20816320834,23725367639
Ethereum,ETH,02-05-2020,215.8475339,212.8786707,214.2300878,215.3253842,18260876092,23850828459
Ethereum,ETH,03-05-2020,219.2708676,208.6923735,215.3520721,210.9331569,20469034664,23367177867
Ethereum,ETH,04-05-2020,211.828388,199.047731,210.8908571,208.1740109,22602446422,23064379025
Ethereum,ETH,05-05-2020,211.7786247,204.0311299,208.0130047,206.7744045,19004689099,22912129590
